Disease,Country,Model_Est_Disease_T,Rel_Diff_Nat_T,Rel_Diff_Gender_T,Rel_Diff_Age_T,Rel_Diff_Age_Gender_T
Cancer,Romania,2901(1749–5116),33.18%(10.44%–65.84%),26.52%(5.26%–55.62%),-19.36%(-20.83%–-7.67%),-9.25%(-10.16%–-5.27%)
Cancer,Belarus,488(13–1567),25.69%(6.54%–57.92%),19.09%(0.88%–47.73%),-18.07%(-19.45%–-6.53%),-7.72%(-8.09%–-4.67%)
Cancer,Moldova,310(4–1969),24.54%(5.86%–58.5%),17.99%(-0.34%–48.76%),-17.97%(-19.4%–-6.38%),-7.58%(-8.05%–-4.05%)
Cancer,Russia,2668(104–4399),22.42%(3.74%–57.13%),15.9%(-2.19%–46.47%),-17.45%(-19.12%–-5.53%),-6.95%(-7.8%–-1.93%)
Cancer,Europe,2909(48–5196),30.22%(10%–62.35%),23.56%(4.58%–50.75%),-18.56%(-19.66%–-6.53%),-8.31%(-8.08%–-5.06%)
HIV,Poland,8093(3980–11832),16.76%(1.19%–29.03%),11%(-5%–24.19%),19.23%(10.37%–25.65%),13.88%(10.06%–20.59%)
HIV,Slovakia,718(304–3872),22.49%(1.51%–39.88%),16.9%(-4.3%–35.32%),26.39%(11.67%–39.58%),20.66%(10.91%–33.91%)
HIV,Hungary,1611(1073–3820),18.1%(1.37%–32.88%),12.45%(-4.88%–27.23%),21.16%(10.87%–30.94%),15.7%(10.54%–25.81%)
HIV,Romania,2140(1318–3682),15.71%(-1.22%–28.48%),10.16%(-5.99%–23.24%),18.54%(9.24%–25.23%),13.2%(8.93%–19.59%)
HIV,Belarus,343(9–1165),14.68%(-0.65%–27.28%),8.91%(-6.3%–22.06%),16.64%(5.93%–24.49%),11.43%(5.36%–17.79%)
HIV,Moldova,220(3–1504),12.53%(-3.64%–25.5%),6.86%(-9.13%–20.8%),14.25%(2.34%–23.65%),9.17%(1.05%–17.52%)
HIV,Russia,1875(78–3346),11.63%(-4.95%–25.43%),5.93%(-10.57%–20.66%),13.01%(-1%–23.9%),8.01%(-2.58%–17.61%)
HIV,Europe,2088(40–3975),16.28%(0.94%–27.96%),10.57%(-5.24%–23.04%),18.77%(10.09%–24.81%),13.44%(9.7%–18.78%)
TB,Poland,1259(637–1836),42.98%(13.62%–58.79%),35.01%(6.65%–52.22%),28.8%(11.52%–34.76%),20.29%(11.52%–27.75%)
TB,Slovakia,108(52–631),55.27%(12.44%–77.29%),47.27%(5.6%–71.55%),38.41%(10.31%–47.78%),29.47%(11.09%–40.72%)
TB,Hungary,244(187–628),48.31%(14.28%–70.2%),40.3%(6.53%–62.78%),32.99%(12.33%–42.81%),24.28%(12.05%–36.58%)
TB,Romania,322(212–591),46.54%(13.23%–66.5%),38.6%(5.3%–59.71%),31.46%(11.84%–40.74%),22.84%(12.2%–33.99%)
TB,Belarus,54(2–181),38.36%(11.07%–56.18%),30.5%(3.91%–50.2%),25.05%(7.46%–32.82%),16.75%(6.86%–25.56%)
TB,Moldova,35(0–235),36.34%(9.56%–54.55%),28.58%(2.77%–47.81%),23.28%(4.87%–32.26%),15.09%(3.41%–24.61%)
TB,Russia,299(13–543),33.29%(6.19%–54.59%),25.61%(1.64%–48.07%),20.81%(0.78%–32.27%),12.75%(-1.14%–24.77%)
TB,Europe,323(6–592),43.15%(12.98%–57.2%),35.22%(5.76%–51.43%),28.86%(11.49%–33.43%),20.36%(11.5%–26.2%)
